Name,Case Number,City,States & Territories,Date Filed,Region Assigned,Status,Date Closed,Reason Closed,No. of Eligible Voters,No. of Employees,Certified Representative,Unit Sought
"Caney Fork Electric Cooperative, Inc.",10-RC-315414,McMinnville,TN,4/4/23,"Region 10, Atlanta, Georgia",Open,,,,40,,"Included: This petition seeks an election for the presently unrepresented all full-time and regular part-time Lineman, Apprentice Lineman, Staking Engineers, Warehouse, Collectors, and substation employees at Caney Fork Electrical Cooperative facilities in McMinnville, Sparta, and Smithville, TN.

Excluded: All other employees, confidential employees, and guards and supervisors as defined by the Act."
"Grow Op Farms, LLC",19-RC-315337,Spokane Valley,WA,4/3/23,"Region 19, Seattle, Washington",Open,,,,17,,"Included: Sales Support: Representative Supervisor, Representatives, Admin Assistants, VMI 
Excluded: 
All other employees, supervisors and guards as defined by the Act"
Starbucks (Starbucks Workers United),10-RD-315296,Augusta,GA,4/3/23,"Region 10, Atlanta, Georgia",Closed,4/6/23,Withdrawal Non-adjusted,,20,,"Included: Barista, Shift Supervisors 

Excluded: Store Managers, District Managers, Salary Employees"
Crockett Facilities Services,05-RC-315320,Washington,DC,4/3/23,"Region 05, Baltimore, Maryland",Closed,4/5/23,Withdrawal Non-adjusted,,4,,"Included: All fulltime and regular part-time employees employed by the employer and engaged in Facilities Maintenance at the Museum of the Bible in Washington, DC. . Excluded: All professional employees, all confidential employees, all managers, all guards and supervisors as defined by the act."
Blue Bird Corporation,10-RC-315367,Fort Valley,GA,4/3/23,"Region 10, Atlanta, Georgia",Open,,,,1350,,"Included: All full-time and regular part-time production, maintenance, quality control, and warehouse employees at the Employer's Fort Valley and Macon facilities

Excluded: All temporary employees, office, clerical, professional employees, managerial employees, guards, and supervisors as defined in the Act"
The Research Foundation for the State University of New York,03-RC-315255,Syracuse,NY,4/3/23,"Region 03, Buffalo, New York",Open,,,,78,,"Included: All full-time and regular part-time Research Project Assistants (“RPAs”) employed by the Employer at SUNY College of Environmental Science and Forestry Excluded: All other employees, guards, clerical employees, confidential employees and supervisors as defined by the Act."
Sodexo Campus Services,01-RC-315309,New Britain,CT,4/3/23,"Region 01, Boston, Massachusetts",Open,,,,70,,"Included: All non-supervisory full time and regular part time student workers.
"
Corewell Health,07-UC-315460,Trenton,MI,4/3/23,"Region 07, Detroit, Michigan",Open,,,,257,,"Present Unit

Included:  Patient Sitter SO, x-Ray asst, waste disposer, utility attendant, surgical services rep, supply aid, storeroom clerk, receptionist SO, patient attendant, patient access specialist, painter SO, PBX operator, orderly, nursing aide, nursing aide II, mail clerk (messenger), maintenance I SO, licensed electrician, House keeper I & II, Grounds Maintenance, Dietary Helper I & II, Diet Menu Processor, Desk Secretary, Cook SO, Clerk Typist, Certified Maintenance, Certified Central Supply Processor, Carpenter SO, Boiler Operator, HVAC Mechanic 

Excluded:

Proposed Unit

Included:  Same as 5a. ""Included"" above but include Critical Care Tech 

"
The Dispensary/ Ayr Wellness,28-RC-315489,Las Vegas,NV,4/3/23,"Region 28, Phoenix, Arizona",Open,,,,30,,"Included: Curbside, intake, inventory, budtenders, leads and assistant managers or supervisors. 

Excluded: Store Manager"
"IRVING MATERIALS, INC.",09-RD-315355,Elizabethtown,KY,4/3/23,"Region 09, Cincinnati, Ohio",Open,,,,23,,"Included:  Drivers.

Excluded:  All other employees."
Fresenius Kidney Care Ponce Centro,12-RC-315361,Toa Alta,PR,4/3/23,"Region 12, Tampa, Florida",Open,,,,15,,"Included: All the RN nursing staff 

Excluded: none nursing staff, and all other employes as defined by the Act"
Eureka Recycling,18-RC-315341,Minneapolis,MN,4/3/23,"Region 18, Minneapolis, Minnesota",Open,,,,3,,"Included:  All full-time and regular part-time Mechanics employed by the employer out of its Minneapolis Minnesota facility.

Excluded:  all other employees, office employees, managers, guards and supervisors as defined by the act."
Vicinity,05-RC-315212,Washington,DC,3/31/23,"Region 05, Baltimore, Maryland",Open,,,,6,,"Included: All full-time and regular Part-time employees employed by the employer and involved in plant operations at the Central Plant for the Watergate complex in Washington, DC.

Excluded: All Managers, clerical employees, confidential employees, guards and supervisors as defined by the act."
Recreational Equipment Inc.,08-UC-315433,Beachwood,OH,3/31/23,"Region 08, Cleveland, Ohio",Open,,,,45,,"Present Unit:

Included:  All full-time and regular part-time employees employed by the Employer at its  411 Park Avenue, Suite 143, Beachwood, Ohio 44122 store.      
Excluded: Professional employees, managers, including sales managers, confidential employees, office clerical employees, guards and asset protection employees, and supervisors as defined by the Act. 

Proposed Unit:

Included: All full time and regular part time employees employed by the Employer at its 411 Park Avenue, Suite 143, Beachwood, OH 44122 store, including all ""leads"" classifications or titles. Excluded: Professional employees, managers, including sales managers, confidential employees, office clerical employees, guards and asset protection employees, and supervisors as defined by the Act."
"Recreational Equipment, Inc.",13-RC-315223,Chicago,IL,3/31/23,"Region 13, Chicago, Illinois",Open,,,,72,,"Included:
All non-supervisory employees as defined by the NLRA
Excluded:"
Hudson Piers Associates,02-RD-315199,New York,NY,3/31/23,"Region 02, New York, New York",Open,,,,2,,"Included: 
Maintenance employees
Excluded:
All other employees"
REFUGEE & IMMIGRANT CARE CENTER FOR EDUCATION AND LEGAL SERVICES,16-UC-315282,San Antonio,TX,3/31/23,"Region 16, Fort Worth, Texas",Open,,,,253,,"Included: All full time and regular part-time employees, including staff attorneys, legal assistants, receptionists, shelter staff workers, case managers, case aids, administrative assistants, social media community associates, data entry clerks, data analysis unit coordinators, accredited representative, coordinators, social media managers, social program managers, and video producers.

Excluded: All supervisors, including supervising attorneys and supervising legal assistants, managers, confidential employees, HR and finance personnel, and interns."
Growing Up Green Charter School,29-RC-315289,Long Island City,NY,3/31/23,"Region 29, Brooklyn, New York",Open,,,,60,,"Included:
Teachers, Associate Teachers, Floating Teachers, Counselors, Learning Specialists.

Excluded:
Employees whose duties are found to be managerial, supervisory, or confidential."
AMENTUM,16-RC-315233,Fort Hood,TX,3/31/23,"Region 16, Fort Worth, Texas",Open,,,,174,,"Included: All full time and regular part time Aircraft Mechanics 3, Aircraft Mechanics 2 , Aircraft Mechanic 2 Elect.,  Aircraft Mechanic 2 Armament Elect.,  Aircraft Mechanic 2 sheet metal, Aircraft Mechanic 1, Aircraft Mechanic 1 Elect., Aircraft Mechanic 1 Armament Elect., Aircraft Mechanic 1 Prop and Rotator, Aircraft Mechanic 1 Engine, Aircraft Mechanic 1 sheet metal, Aircraft Painter, Aircraft Tech Inspector, Computer System Analyst 1, Computer System Analyst 2, ECO/Hazmat Inspector, Maintenance Test Pilot, Non-Destructive Insp. Tech Control (NDI)3, Production Control Clerk, Quality Control Inspector, Safety/OSHA Inspector, Supply Tech, and Tech Writer III Working for Amentum at Fort Hood Army Airfield.

Excluded:  Office Clerical employees, professional employees, managerial employees, guards, supervisors as defined in the Act and Site."
"LXG Chicago, LLC d/b/a Holiday Inn and Suites Chicago–Downtown",13-RC-315195,Chicago,IL,3/31/23,"Region 13, Chicago, Illinois",Open,,,,8,,"Included: All regular part-time and regular full-time housekeeping department employees, including room attendants,
housemen, and Laundry/Lobby.
Fxcluded: Food & beverage employees, office employees, valet employees, engineering employees, front desk
employees, and guards, office clericals, managers and supervisors as defined in the NLRA."
"Spenard Builders Supply, LLC",19-RD-315230,Chugiak,AK,3/31/23,"Region 19, Seattle, Washington",Open,,,,27,,"Included: 
The parties agree to the classifications as follows - Assemblers; Assembler (Entry, Step 2 & 3); Assembler Senior (Step 1, 2, 3, &4); Sawyer; Sawyer Senior; Foreman; of the Birchwood Panel Plant located at 20850 Birchwood Spur, Chugiak, AK 99567 and the Eklutna Truss Plant located at 28275 Denaina Elders Road, Chugiak, AK 99567 of Spenard Builders Supply, LLC. 
Excluded: All others including management, supervisors and guards as described in the NLRA"
150 Amsterdam Avenue Holdings Inc.,02-RC-315074,New York,NY,3/30/23,"Region 02, New York, New York",Open,,,,17,,"Included:  All building service workers
Excluded: Statutory guards and supervisors"
Swinks Welding,31-RC-315169,Simi Valley,CA,3/30/23,"Region 31, Los Angeles, California",Open,,,,6,,"Included: All full-time and regular part-time iron workers.

Excluded: All clerical, managers, supervisors, and guards as defined in the Act."
"Patson, Inc. d/b/a TransChicago Truck Group",13-RC-315131,Gary,IN,3/30/23,"Region 13, Chicago, Illinois",Open,,,,55,,"Included: Service Writers, Porters, All full-time and regular part-time Parts Department Employees, including Warranty Administrators, Phone Room Employees, Warehouse Employees, and Drivers and all new Truck delivery Employees including Porters, Advisor, Delivery, and Transportation coordinator.

Excluded: All other employees, Service Technicians, sales Employees, Office Clerical Employees, Professional Employees, Managerial Employees, Guards and Supervisors as defined in the Act."
"Pennsylvania Transformer Technology, Inc.",06-UC-315232,Canonsburg,PA,3/30/23,"Region 06, Pittsburgh, Pennsylvania",Open,,,,220,,"Included: Full time and regular part time production and maintenance employees employed by the Company at its Canonsburg, Pennsylvania facility 

Excluded: Office clerical employees, environmental lab assistants, guards, professional 
employees and supervisors as defined by the National Labor Relations Act (""Act""), and all other employees"
Edward W. Sparrow Hospital Association,07-RC-315469,Lansing,MI,3/30/23,"Region 07, Detroit, Michigan",Open,,,,2,,"Petitioned for Voting Group: All full-time, and regular part-time, and per diem Spiritual Care Providers.

Existing Unit Represented by Petitioner: 

Included:  All full-time, regular part-time, and per diem professional employees, including admission orders coordinators, audiologists, cardiopulmonary educational coordinators, charge medical technologists, child life therapists, clinical instructors, clinical pharmacists, discharge coordinators, health service coordinators, home monitor nurse coordinators, infection control nurses, medical librarians, medical technologists, nurse anesthetists, nurse clinicians, registered nurses, office nurses, pediatric physical therapists, perinatal outreach coordinators, physical therapists, pulmonary function technologists, quality assurance coordinators, quality review coordinators, regional neonatal nurse coordinators, social
workers, speech pathologists, staff occupational therapists, staff pharmacists, teachers, therapeutic dieticians and therapeutic recreation specialists employed at the Employer’s facilities
located in Lansing and Mason, Michigan;

Excluding:  all other employees, managerial employees, residents, and guards and supervisors as defined in the Act.

Self-Determination/Armour-Globe Election

If a majority of valid ballots are cast for the Michigan Nurses Association by those employees employed in the voting group, they will be taken to have indicated the employees’ desire to be
included in the existing professional employees unit described above, which is currently represented by the Michigan Nurses Association. If a majority of valid ballots are not cast for
representation, they will be taken to have indicated the employees’ desire to remain unrepresented."
SC Labs Colorado and SC Labs National Hemp,27-RC-315120,Denver,CO,3/30/23,"Region 27, Denver, Colorado",Open,,,,16,,"Include: All current full-time and regular part-time Intake, Microbiologist, Hemp Analytical Chemist, Marijuana Analytical Chemist and Curriers at the facilities located at 1001 South Galapago Street and 1301 South Jason Street in Denver, Colorado. Excluded: All sales, human resources, temporary employees, management, watchmen, guards, and supervisors as defined in the National Labor Relations Act, as Amended."
"Guava & Java, PHL LaColombe",04-RD-315182,Philadelphia,PA,3/30/23,"Region 04, Philadelphia, Pennsylvania",Open,,,,45,,"Included:  All cafe employees (baristas, cashiers, utilities).

Excluded:  Managers"
Providence St Peter Hospital,19-RC-315170,Olympia,WA,3/30/23,"Region 19, Seattle, Washington",Open,,,,11,,"Included: 

The Petitioner seeks to add through an Armour-Globe election all full time, regular part time and per diem Palliative Care Registered Nurses employed at 413 Lilly Rd NE, Olympia, WA 98506 and 914 S Scheuber Rd, Centralia, WA 98531 to the existing Registered Nurse bargaining unit .

Excluded: 

Managers, Supervisors and Guards excluded as defined by the act"
Renal Advantage Inc. / Bio-Medical Applications of California Inc. dba Fresenius Kidney Care Juniper Fontana,31-RC-315146,Fontana,CA,3/29/23,"Region 31, Los Angeles, California",Open,,,,5,,"Included: Home Therapy RN, Home Health LVN, Home Therapy PCT, Home Therapy Administrative Assistant.

Excluded: All other classifications, including but not limited to guards, managers, confidential employees
and supervisors as defined by the Act."
Starbucks Corporation,14-RC-315026,St. Louis,MO,3/29/23,"Region 14, Saint Louis, Missouri",Open,,,,22,,"Included: All full-time and regular part-time Baristas and Shift Supervisors;
Excluded: Store manager, Office Clericals, Guards, Professional Employees, and Supervisors
"
Portland Baroque Orchestra,19-RC-315069,Portland,OR,3/29/23,"Region 19, Seattle, Washington",Open,,,,33,,"Included: All instrumentalists and librarians. Excluded: All other employees, conductors, singers, stage crew, administrative staff, office clerical employees, guards and supervisors."
Marriott Hotel,20-RD-314941,Burlingame,CA,3/29/23,"Region 20, San Francisco, California",Open,,,,193,,"Unit: Included: All-full time and regular part-time Attendants-Health Club; AYS Runners; Housekeepers; Housekeepers-Lobby; Housekeepers-Turndown; Housekeeping Aids (Housemen); Housekeeping Laundry Attendants; Housekeepers; Project Room Team/Housekeeper Made Ready Employees; Attendants-Bar; Bartenders; Dining Room Attendants; Food Runners (Bar); Hanger Servers; Hosts; In-Room Dining Servers; In-Room Dining Operators; Beverage Runners; Cocktail Servers; Flight Servers-Lounge; Food & Beverage M-Lounge; Cold-Side Attendants; Dishwashers; Expediters; Kitchen Purchasing Clerks; Kitchen Utility Employees; Cooks and Lead Cooks; Lead Stewards; Aisle CSMs; Banquet Bartenders; Banquet Cooks; Banquet Housemen (CSM); Banquet Servers (Including Regular On-Call); Housekeeping Aids-Banquet; Starbuck Baristas; Kitchen Lead Storekeeper; Housekeeping Team Lead; Lead Baker; Dishwasher/Utility Lead; and Housekeeper SR-PM employed at the San Francisco Airport Marriott Waterfront Hotel.  Excluded: Guest Service Aides; Shipping and Receiving Attendants; Auditors; AYS Operators; Banquet Administrative Assistants; Catering Supervisors; Front Desk Clerks; Chefs and Sous Chefs; Gate Path Employees; In-Room Dining Administrative Assistants; J-I Exchange Visitors; Kitchen Managers; Maintenance and Engineering Employees; Purchasing Storeroom Supervisors; Sales Employees; Supervising Cooks; Temporary Employees; Voyagers; Casual and Irregular Part time Employees; Office Clericals; Professional Employees, Guards, and Supervisors as defined by the Act."
Suburban Propane,20-RC-315100,Elk Grove,CA,3/29/23,"Region 20, San Francisco, California",Open,,,,7,,"Included: All full-time and regular part-time operators at the Elk Grove plant
Excluded: All other employees and supervisors, guards as defined the Act
"
Windstream,14-RC-315087,Poteau,OK,3/29/23,"Region 14, Saint Louis, Missouri",Open,,,,21,,"Included: All construction linemen technicians, customer service technicians, business system technicians, network technicians, engineers/outside plant technicians, and materials coordinators at the Employer's facilities in Poteau, Vian, and Stillwell, Oklahoma.
Excluded: All statutory supervisors, confidential employees, security guards.
"
Goethe-Institut Washington,05-RC-315051,Washington,DC,3/29/23,"Region 05, Baltimore, Maryland",Open,,,,65,,"Included:  All full-time and regular part-time employees, including those whose duties involve the German-American Partnership Program and the Transatlantic Outreach Program

Excluded:  Employees currently represented for collective bargaining purposes by a German labor organization, managers, confidential employees and supervisors as defined in the Act."
Legal Aid Society of New York,02-RC-314948,New York,NY,3/28/23,"Region 02, New York, New York",Open,,,,5,,"Included: All full-time and regular part-time maintenance employees of the Employer

Excluded:All other employees and all guards, confidential employees, managers and 
supervisors as defined by the National Labor Relations Act"
Rosalind Franklin University of Medicine and Science,13-RC-314965,North Chicago,IL,3/28/23,"Region 13, Chicago, Illinois",Open,,,,8,,"Included: All AV-IT Stagehands employed by the employer at its North Chicago campus.

Excluded: All guards, and supervisors as defined in the Act."
Fresenius Kidney Care Elk Grove Boulevard,20-RC-315035,Elk Grove,CA,3/28/23,"Region 20, San Francisco, California",Open,,,,4,,"Included: All registered dietitians and social workers.
Excluded: All others including supervisors and guards as defined by the act.
"
Mosaic Crop Nutrition LLC,25-RD-315006,Pekin,IL,3/28/23,"Region 25, Indianapolis, Indiana",Closed,3/31/23,Withdrawal Non-adjusted,,7,,"Involved: Utility, Maintenance, Operator

Excluded: None"
Medieval Times U.S.A. Inc. d/b/a Medieval Times Dinner and Tournament,21-RC-315024,Buena Park,CA,3/28/23,"Region 21, Los Angeles, California",Open,,,,14,,"Included: All sound and lighting technicians

Excluded: All other employees, supervisors, managers and guards"
Cambridge Friends School,01-RC-314917,Cambridge,MA,3/28/23,"Region 01, Boston, Massachusetts",Open,,,,38,,"Included: All full time and regular part time employees including the following classifications Music Teacher, Librarian, Lower School Music Teacher, PK-5 Visual Arts Teacher, Teacher,  Lower School Science Teacher, Middle School Science Teacher, Extended Day Teacher, Substitute Teacher, Prek/K Teacher, Middle Sschool Humanities and Math Teacher, Learning Specialist, Spanish Teacher. Excluded: All guards, managers, supervisors, as defined by the Act and all other employees ."
Advanced Mobility (Kentucky Trailer),13-RC-314959,University Park,IL,3/28/23,"Region 13, Chicago, Illinois",Open,,,,130,,"Included: All Full time and regular part-time Production and Maintenance employees employed at the employer's facility located at 611 Commerce Center Drive, University Park, IL 60484, 
Excluded: All other employees including  temporary employees,office clerical employees, professional employees, managerial employees, supervisors and sales employees, as defined by the Act, as amended."
The Chicago Academy of Sciences d/b/a Peggy Notebaert Nature Museum,13-RC-314913,Chicago,IL,3/28/23,"Region 13, Chicago, Illinois",Open,,,,45,,"Included: All full-time and regular part time employees who are employed by the Chicago Academy of Sciences, Peggy Notebaert Nature Museum.
Excluded: All confidential and managerial employees; and guards and supervisors as defined by the Act."
"Amerigas, Inc.",08-RC-315017,Columbia Station,OH,3/28/23,"Region 08, Cleveland, Ohio",Open,,,,5,,"All full time and regular part-time truck drivers employed by the Employer at its Columbia Station, Ohio location, but excluding all office clerical employees, professional employees, guards and supervisors as defined in the Act."
NVE Inc.,05-RC-314935,Washington,DC,3/27/23,"Region 05, Baltimore, Maryland",Open,,,,3,,"Included: All fulltime and regular part-time employees employed by the employer and engaged in Facilities Maintenance at the IRS Building in Washington, DC. 

Excluded: All professional employees, all confidential employees, all managers, all guards and supervisors as defined by the Act."
Complete Building Services,05-RC-314896,Washington,DC,3/27/23,"Region 05, Baltimore, Maryland",Open,,,,6,,"Included: All fulltime and regular part-time employees employed by the employer and engaged in Facilities Maintenance at the IRS Building in Washington, DC.

Excluded: All professional employees, all confidential employees, all managers, all guards and supervisors as defined by the Act."
W M of Marissa,14-RD-314859,Marissa,IL,3/27/23,"Region 14, Saint Louis, Missouri",Open,,,,12,,Included: All drivers and all technicians Excluded: Management
Eversource Energy,01-RC-314865,Manchester,NH,3/27/23,"Region 01, Boston, Massachusetts",Open,,,,24,,"Included:
All ESCC System Operators including Control Room Operator, Systems Operator, Shift 
Operation Supervisor, Shift Operation Supervisor Level 1 & Shift Operation Supervisor Level 2
Excluded:
All other employees, guards, professional employees, and supervisors as defined in the
Act."
Copperfield's Books,20-RC-314838,Petaluma,CA,3/27/23,"Region 20, San Francisco, California",Open,,,,22,,"Included: Bookstore Clerks.
Excluded: All C-level employees, directors."
Winston Towers 200 Association,22-RC-314853,Cliffside Park,NJ,3/27/23,"Region 22, Newark, New Jersey",Closed,3/31/23,Withdrawal Non-adjusted,,2,,"INCLUDED:  All full-time and regular part -time superintendents and assistant superintendents

EXCLUDED:  All other employees, guards and supervisors and management personnel"
Yanfeng Global Automotive Interiors,14-RC-314812,Riverside,MO,3/27/23,"Region 14, Saint Louis, Missouri",Open,,,,450,,"Included: All full-time production and maintenance employees employed by the employer at the Riverside location;
Excluded: All office, clerical, supervisors & guards as defined in the act.
"
Starbucks Corporation,18-RC-314910,Iowa City,IA,3/27/23,"Region 18, Minneapolis, Minnesota",Open,,,,31,,"Included:
All full-time and regular part-time Baristas and Shift Supervisors
Excluded:
Store managers, Office Clericals, Guards, Professional Employees, and Supervisors"
Solid State Books,05-RC-314860,Washington,DC,3/27/23,"Region 05, Baltimore, Maryland",Open,,,,6,,Included: All full-time and regular part-time employees Excluded: Supervisory employees
Stachs LLC d/b/a Lincoln,31-RC-314855,Venice,CA,3/24/23,"Region 31, Los Angeles, California",Open,,,,40,,"Included: Full time and regular part-time delivery drivers, depot staff, and shift supervisors 

Excluded: Depot managers and assistant managers, guards, and professional employees"
Skidmore College,03-RC-314736,Saratoga Springs,NY,3/24/23,"Region 03, Buffalo, New York",Open,,,,40,,Included: All undergraduate resident assistants Excluded: All managerial employees
Rogers Behavioral Health,32-RC-314737,Walnut Creek,CA,3/24/23,"Region 32, Oakland, California",Open,,,,32,,"Included: All full-time, regular part-time and per diem registered nurse, professional, and non-professional employees employed by the employer, including in the following job classifications:  

Group A (RN/Pros): Therapist I, Therapist II, Behavioral Specialist, Pool Behavioral Specialist, Education Specialist, Registered Nurse, Psychiatrist 

Group B (Non-Pros): Clinic Assistant 

Excluded: All other employees, confidential employees, employees represented by other labor organizations, guards and supervisors as defined by the National Labor Relations Act. 
"
Dissimilar Metal Design LLC,19-RC-314759,Bremerton,WA,3/24/23,"Region 19, Seattle, Washington",Open,,,,6,,"Included: All full-time and regular part-time architectural metal workers.. Excluded: All other employees, including office clerical employees, managers, guards, and supervisors under the Act."
"Southern Glazer's Wine and Spirits of Indiana, LLC",25-RC-314788,Indianapolis,IN,3/24/23,"Region 25, Indianapolis, Indiana",Open,,,,2,,"Employees Included: Armour-Globe self determination election to determine whether Cycle Counter/Inventory Clerks with to be added to the existing bargaining unit of warehouse workers and truck driving employees in the classifications of Warehouse Night, Warehouse Day, Route Driver, and Driver Tractor/Trailer. 

Employees Excluded: Managerial, confidential, administrative, security, maintenance, janitorial, clerical, routers, sorter-merge operators, and WMS/ASRS administrators."
Starbucks Corporation,19-RC-314779,Walla Walla,WA,3/24/23,"Region 19, Seattle, Washington",Open,,,,24,,"Included: 
All full-time and regular part-time Baristas, Shift Supervisors. 
Excluded: 
Store Managers, Asst. Store Managers, office clericals, guards, and supervisors as defined by the Act."
Adventist Health and Rideout,20-RC-314735,Marysville,CA,3/24/23,"Region 20, San Francisco, California",Open,,,,19,,"Maintenance Mechanics, (HVAC/Electrician/Plumber), Grounds (Utility Engineer); excluding Security Guards and Supervisors"
Detroit Education and Research,07-RC-314790,Detroit,MI,3/24/23,"Region 07, Detroit, Michigan",Open,,,,1300,,"Included:  All Resident Physicians, Interns, and Medical Fellows employed by the Employer

Excluded:  All other employees, supervisors, managers, and guards as defined by the Act."
"Patson, Inc. d/b/a TransChicago Truck Group",13-RC-314730,Gary,IN,3/24/23,"Region 13, Chicago, Illinois",Open,,,,28,,"Included: All full-time and regular part-time Parts Department Employees, including Warranty Administrators, Phone Room Employees, Parts Counter Employees, Warehouse Employees, and Drivers who are employed at their 2333 W. 25th Ave, Gary, IN facility.

Excluded: All other employees, Service Technicians, Service Writers, Porters, Sales Employees, Office Clerical Employees, Professional Employees, Managerial Employees, Guards and Supervisors as defined by the Act."
"PIC Group, Inc.",18-RC-314738,Negaunee (Township),MI,3/24/23,"Region 18, Minneapolis, Minnesota",Open,,,,13,,"Included:  All PIC IC&E Tech, O&M Technicians, and Administrative Assistants.

Excluded:  All management per the Act."
White Bird Clinic,19-RC-314774,Eugene,OR,3/24/23,"Region 19, Seattle, Washington",Open,,,,23,,"Included:  Crisis Counselor, Crisis Receptionist, Office Manager, Department Coordinator, and Clinical Supervisor. Excluded: All guards, supervisors, and managers under the Act."
Fresno Nursing Center,32-RD-314772,Fresno,CA,3/24/23,"Region 32, Oakland, California",Open,,,,45,,"Included: All full-time and regular part-time CNAs, Restorative Nursing Assistants, Housekeepers, Laundry Aides, Janitors, Cooks, Dietary Aides, and Activity Assistants employed by the employer at its facility located at 3672 N. First Street, Fresno, CA 93726.
Excluded: Confidential employees, office clerical employees, employees, guards, and supervisors as defined by the Act.
"
Bio-Medical Applications of California Inc. dba Fresenius Kidney Care Chula Vista South,21-RC-314924,Chula Vista,CA,3/24/23,"Region 21, Los Angeles, California",Open,,,,32,,"Included:  PCT, Unit Secretary, RN, LVN< LPN, CCHT, RN Team Leader, Secretary, Administrative Assistant, Charge RN 1.

Excluded:  All other classifications, including but not limited to guards, managers, confidential employees and supervisors as defined by the Act."
