"Case Type",Region,"Case Number","Case Name",Status,"Date Filed","Date Closed","Reason Closed",City,"States & Territories","Employees on charge/petition",Allegations,Participants,Union,"Unit Sought",Voters
C,"Region 09, Cincinnati, Ohio",09-CB-258690,"INTERNATIONAL UNION, UNITED AUTOMOBILE, AEROSPACE AND AGRICULTURAL IMPLEMENT WORKERS OF AMERICA, AFL-CIO (UAW)",Open,04/01/2020,,,Louisville,KY,25,"8(b)(1)(A) Duty of Fair Representation, incl'g Superseniority, denial of access
","Charged Party / Respondent, Legal Representative, Henry Michele, Craig Henry, PLC, 401 West Main Street, Suite 1900, Louisville, KY, 40202, (502)614-5962
Charged Party / Respondent, Union, International Union, United Automobile, Aerospace and Agricultural Implement Workers of America (UAW), AFL-CIO, Local 862, Louisville, KY, 40213-3522
Charging Party, Individual
",,,
C,"Region 32, Oakland, California",32-CB-258689,"International Union of Operating Engineers, Local No. 3, District 90 (Lhoist North America of Arizona, Inc.)",Closed,04/01/2020,06/25/2020,"Dismissal Non-adjusted",Salinas,CA,40,"8(b)(1)(A) Duty of Fair Representation, incl'g Superseniority, denial of access
","Charged Party / Respondent, Notification, Tuttle David, Operating Engineers Local Union No. 3, 1620 S Loop Rd., Alameda, CA, 94502, (510)748-7400
Charged Party / Respondent, Legal Representative, LIAO GENING, INTERNATIONAL UNION OF OPERATING ENGINEERS [IUOE] LOCAL 3, 1620 South Loop Road, Alameda, CA, 94502-7085, (510)748-7400
Charged Party / Respondent, Union, International Union of Operating Engineers Local 3, Morgan Hill, CA, 95037
Charging Party, Individual
Involved Party, Employer, Lhoist North America of Arizona, Inc., Salinas, CA, 93908
",,,
C,"Region 13, Chicago, Illinois",13-CA-258686,"Tower International (Tower Automotive)",Closed,04/01/2020,04/24/2020,"Withdrawal Adjusted",Chicago,IL,450,"8(a)(5) Repudiation/Modification of Contract [Sec 8(d)/Unilateral Changes]
","Charged Party / Respondent, Additional Service, Tower International (Tower Automotive), Chicago, IL, 60633
Charging Party, Additional Service, International Union, United Automobile, Aerospace and Agricultural Implement Workers of America (UAW), AFL-CIO, Detroit, MI, 48214
Charged Party / Respondent, Employer, Tower Automotive (AGG Autokiniton Global Group), Chicago, IL, 60633
Charging Party, Union, UAW Local 3212, Chicago, IL, 60617-7332
Charging Party, Additional Service, International Union, United Automobile, Aerospace and Agricultural Implement Workers of America, UAW, Local 2000, Detroit, MI, 48214
Charging Party, Additional Service, International Union, United Automobile, Aerospace and Agricultural Implement Workers of America (UAW), AFL-CIO, Detroit, MI, 48214-3963
",,,
C,"Region 19, Seattle, Washington",19-CA-258668,"ERMC - SeaTac Airport",Closed,04/01/2020,04/07/2020,"Withdrawal Adjusted",Seattle,WA,100,"8(a)(5) Refusal to Bargain/Bad Faith Bargaining (incl'g surface bargaining/direct dealing)
8(a)(5) Repudiation/Modification of Contract [Sec 8(d)/Unilateral Changes]
","Charged Party / Respondent, Employer, ERMC - SeaTac Airport, Atlanta, GA, 30354
Charging Party, Union, SEIU 6 Property Services Northwest, Seattle, WA, 98134
",,,
C,"Region 19, Seattle, Washington",19-CA-258712,"City Roasting Company (d/b/a City Brew Coffee)",Closed,04/01/2020,04/27/2021,"Informal Settlement",Missoula,MT,13,"8(a)(1) Coercive Statements (Threats, Promises of Benefits, etc.)
8(a)(3) Changes in Terms and Conditions of Employment
8(a)(1) Coercive Actions (Surveillance, etc)
8(a)(1) Coercive Rules
8(a)(4) Changes in Terms and Conditions of Employment
8(a)(1) Interrogation (including Polling)
8(a)(5) Refusal to Recognize
","Charged Party / Respondent, Legal Representative, Williams David, Snell & Wilmer, L.L.P., 15 W. South Temple, Suite 1200, Salt Lake City, UT, 84101-1547, (801)257-1914
Charged Party / Respondent, Employer, City Roasting Company (d/b/a City Brew Coffee), Billings, MT, 59103-1159
Charging Party, Individual
",,,
C,"Region 05, Baltimore, Maryland",05-CA-258643,"Transdev Services, Inc.",Closed,04/01/2020,05/12/2020,"Withdrawal Adjusted",Hyattsville,MD,50,"8(a)(4) Discharge (including Layoff and Refusal to Hire)
8(a)(4) Changes in Terms and Conditions of Employment
8(a)(3) Changes in Terms and Conditions of Employment
","Charged Party / Respondent, Legal Representative, Foster James, McMahon Berger, PC, 2730 N. Ballas Rd Ste 200, St. Louis, MO, 63131-3039, (314)567-7350
Charging Party, Individual
Charged Party / Respondent, Employer, Transdev, Hyattsville, MD, 20785
",,,
C,"Region 02, New York, New York",02-CB-258677,"Local 1181-1061, Amalgamated Transit Union, AFL-CIO/CLC (Consolidated Transportation)",Closed,04/01/2020,08/13/2020,"Dismissal Non-adjusted",Bronx,NY,800,"8(b)(1)(A) Duty of Fair Representation, incl'g Superseniority, denial of access
","Charged Party / Respondent, Legal Representative, Brook Richard, Meyer, Suozzi, English & Klein, P.C., Herald Square Building, 1350 Broadway, Suite 1420, New York, NY, 10018, (212)763-7010
Charged Party / Respondent, Legal Representative, Brook Richard, Meyer, Suozzi, English & Klein, P.C., Herald Square Building, 1350 Broadway, Suite 1420, New York, NY, 10018, (212)763-7010
Involved Party, Legal Representative, Milman Richard, Milman Labuda Law Group PLLC, 3000 Marcus Ave Ste 3W8, New Hyde Park, NY, 11042-1009, (516)328-8899
Charged Party / Respondent, Union,  Local 1181-1061, Amalgamated Transit Union, AFL-CIO, Valley Stream, NY, 11580-3818
Involved Party, Employer, CONSOLIDATED TRANSPORTATION, BRONX, NY, 10473-____
Charged Party / Respondent, Union, Local 1181-1061, Amalgamated Transit Union, AFL-CIO/CLC, VALLEY STREAM, NY, 11580-____
Charging Party, Individual
",,,
C,"Region 22, Newark, New Jersey",22-CA-258693,"St. Clare's Hospital/Prime Healthcare",Closed,04/01/2020,07/27/2020,"Dismissal Non-adjusted",Dover,NJ,100,"8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)
8(a)(4) Discharge (including Layoff and Refusal to Hire)
","Charged Party / Respondent, Legal Representative, Schottmiller Mary, Prime Healthcare Foundation - Coshocton, LLC d/b/a Coshocton Regional Medical Center, 3480 E. Guasti Avenue, Ontario, CA, 91761, (909)235-4255
Charged Party / Respondent, Employer, St. Clares Hospital/Prime Healthcare, Dover, NJ, 07801-____
Charging Party, Individual
",,,
C,"Region 31, Los Angeles, California",31-CA-258694,"Daylight Transportation",Closed,04/01/2020,01/14/2021,"Withdrawal Adjusted",Fontana,CA,55,"8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)
8(a)(3) Discipline
","Charged Party / Respondent, Legal Representative, Adlong Daniel, Ogletree, Deakins, Nash, Smoak & Stewart, P.C., 695 Town Center Drive, Suite 1500, Costa Mesa, CA, 92626-1924, (714)800-7997
Charged Party / Respondent, Employer, Daylight Transportation, Fontana, CA, 92337
Charging Party, Individual
",,,
C,"Region 19, Seattle, Washington",19-CB-258680,"APWU Local 28 (United States Postal Service)",Closed,04/01/2020,07/21/2020,"Dismissal Non-adjusted",Seattle,WA,1000,"8(b)(1)(A) Duty of Fair Representation, incl'g Superseniority, denial of access
","Involved Party, Legal Representative, Colling James, United States Postal Service, Office of Deputy Managing Counsel-Field                               Law Department - NLRB Unit,, 1720 Market Street, Room 2400, St. Louis, MO, 63155-9948, (720)221-5128
Involved Party, Employer, United States Postal Service, Seattle, WA, 98168
Charged Party / Respondent, Union, APWU Local 28, Burien, WA, 98166-2312
Charging Party, Individual
",,,
C,"Region 27, Denver, Colorado",27-CA-258660,"Grain Craft",Closed,04/01/2020,07/15/2020,"Withdrawal Non-adjusted",Ogden,UT,35,"8(a)(5) Repudiation/Modification of Contract [Sec 8(d)/Unilateral Changes]
8(a)(3) Discipline
","Charged Party / Respondent, Legal Representative, Woodson Michael, Eversheds Sutherland (US) LLP, 1001 Fannin, Suite 3700, Houston, TX, 77002, (713)470-6121
Charged Party / Respondent, Legal Representative, McLaughlin Scott, Eversheds Sutherland (US) LLP, 1001 Fannin St. Ste. 3700, Houston, TX, 77002-6785, (713)470-6100
Charged Party / Respondent, Employer, Grain Craft, Ogden, UT, 84401-3510
Charging Party, Union, Bakery, Confectionary, Tobacco Workers and Grain Millers' Local 19G, AFL-CIO, Syracuse, UT, 84075
Charging Party, Additional Service, Bakery, Confectionery, Tobacco Workers & Grain Millers International Union, AFL-CIO, CLC, Syracuse, UT, 84075
",,,
C,"Region 12, Tampa, Florida",12-CA-258698,"AirPro Diagnostics LLC",Closed,04/01/2020,06/10/2020,"Withdrawal Non-adjusted",Jacksonville,FL,105,"8(a)(1) Coercive Statements (Threats, Promises of Benefits, etc.)
8(a)(1) Coercive Actions (Surveillance, etc)
8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)
","Charged Party / Respondent, Legal Representative, Wells S., Gray Robinson, P.A., 50 North Laura St., Ste. 1100, Jacksonville, FL, 32202, (904)598-9929
Charging Party, Individual
Charged Party / Respondent, Employer, AirPro Diagnostics, LLC, Jacksonville, FL, 32224
",,,
C,"Region 22, Newark, New Jersey",22-CB-258667,"Federal Contract Guards of America",Closed,04/01/2020,04/20/2020,"Withdrawal Non-adjusted",Newark,NJ,135,"8(b)(1)(A) Duty of Fair Representation, incl'g Superseniority, denial of access
","Charged Party / Respondent, Union, Federal Contract Guards of America (FCGOA), New York, NY, 10022
Involved Party, Employer, HBC Management, Nutley, NJ, 07110-____
Charging Party, Individual
",,,
C,"Region 32, Oakland, California",32-CA-258699,"Kaiser Permanente",Closed,04/01/2020,07/20/2020,"Withdrawal Non-adjusted",Antioch,CA,1000,"8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)
","Charged Party / Respondent, Notification, Weaver April, KFHP Legal, One Kaiser Plaza, 19th Floor, Oakland, CA, 94612-3610, (510)271-5927
Charged Party / Respondent, Employer, Kaiser Permanente, Antioch, CA, 94531
Charging Party, Individual
",,,
C,"Region 28, Phoenix, Arizona",28-CB-258663,"International Association of Machinists & Aerospace Workers Local Lodge 2515 (King Aerospace)",Closed,04/01/2020,08/11/2020,"Withdrawal Adjusted",Addison,TX,100,"8(b)(3) Repudiation/Modification of Contract
","Charging Party, Legal Representative, Schlesinger Aaron, Peckar and Abramson, P.C., 70 Grand Avenue, River Edge, NJ, 07661, (201)343-3434
Charged Party / Respondent, Legal Representative, Sencer Caren, Weinberg, Roger & Rosenfeld, 1375 55th Street, Emeryville, CA, 94608-2609, (510)337-1001
Charged Party / Respondent, Legal Representative, Fujimoto David, Weinberg Roger & Rosenfeld, 1375 55th Street, Emeryville, CA, 94608-2609, (213)380-2344
Charged Party / Respondent, Notification, Haller William, International Association of Machinists and Aerospace Workers District 65, 9000 Machinists Place, Room 202, Upper Marlboro, MD, 20772, (301)967-4510
Charged Party / Respondent, Union, International Association of Machinists and Aerospace Workers, AFL-CIO, LL2515, Alamogordo, NM, 88310
Charging Party, Employer, King Aerospace, Inc., Addison, TX, 75001
",,,
C,"Region 12, Tampa, Florida",12-CA-258691,"The Children's Home, Inc. d/b/a Children's Home Network",Closed,04/01/2020,01/19/2021,"Informal Settlement",Tampa,FL,300,"8(a)(1) Coercive Rules
8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)
","Charged Party / Respondent, Legal Representative, Bayless Feldman Alan, Jackson Lewis, P.C., 2111 East Highland Ave, Suite B-250, Phoenix, AZ, 85016, (602)714-7044
Charging Party, Legal Representative, Saba Christopher, Wenzel Fenton Cabassa, P.A., 1110 N. Florida Ave, Ste.300, Tampa, FL, 33602, (813)223-6413
Charged Party / Respondent, Legal Representative, Prather Laura, Jackson Lewis, P.C., 100 South Church Avenue, Suite 100, Tucson, AZ, 85701, (602)714-7044
Charging Party, Individual
Charged Party / Respondent, Employer, Children's Home Network, Tampa, FL, 33615
",,,
C,"Region 14, Saint Louis, Missouri",14-CA-258637,"United States Postal Service",Closed,04/01/2020,06/02/2021,"Withdrawal Adjusted","Kansas City",MO,600,"8(a)(3) Discipline
8(a)(1) Coercive Statements (Threats, Promises of Benefits, etc.)
8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)
8(a)(5) Refusal to Bargain/Bad Faith Bargaining (incl'g surface bargaining/direct dealing)
","Charged Party / Respondent, Legal Representative, Kingsbury Dallas, United States Postal Service, 1720 Market St Rm 2400, Law Department - NLRB, St. Louis, MO, 63155-9948, (202)268-2390
Charged Party / Respondent, Legal Representative, Kennish Tonya, United States Postal Service, Law Office - NLRB Unit, 475 L’Enfant Plaza, SW, Washington, DC, 20260, (202)268-2390
Charged Party / Respondent, Employer, United States Postal Service, Kansas City, MO, 64122
Charging Party, Union, Greater Kansas City Metro Areal Local #67, Kansas City, MO, 64127-____
",,,
C,"Region 22, Newark, New Jersey",22-CA-258666,"Host International Inc. at Newark Liberty International Airport, d/b/a HMS Host",Closed,04/01/2020,06/16/2020,"Withdrawal Non-adjusted",Newark,NJ,200,"8(a)(5) Refusal to Bargain/Bad Faith Bargaining (incl'g surface bargaining/direct dealing)
8(a)(5) Repudiation/Modification of Contract [Sec 8(d)/Unilateral Changes]
","Charging Party, Legal Representative, Midgen Andrew, Pitta LLP, 120 Broadway, 28th Floor, New York, NY, 10271, (212)652-3829
Charged Party / Respondent, Legal Representative, Repole Christopher, Jackson Lewis, P.C., 666 Third Avenue, 28th Floor, New York, NY, 10017-4030, (212)545-4019
Charging Party, Legal Representative, Barker Jane, Pitta LLP, 120 Broadway, 28th Floor, New York, NY, 10271-0002, (212)652-3828
Charged Party / Respondent, Legal Representative, Carlozzi Linda, Jackson Lewis P.C., Jackson Lewis, P.C., 666 Third Ave, New York, NY, 10017, (212)545-4040
Charging Party, Union, UNITE HERE Local 100, New York, NY, 10001-6708
Charged Party / Respondent, Employer, Host International Inc. at Newark Liberty Int'l Airport, d/b/a HMS Host, Bethesda, MD, 20817-1828
",,,
R,"Region 13, Chicago, Illinois",13-RC-258675,"Eagle Express Lines, Inc.",Closed,04/01/2020,08/12/2020,"Certific. of Representative","Bedford Park",IL,33,,"Employer, Legal Representative, Pagano Jeffrey, Twomey, Latham, Shea, Kelley, Dubin & Quartararo LLP, 33 West Second Street, P.O. Box 9398, Riverhead, NY, 11901-9398, (631)574-2877
Petitioner, Union, International Brotherhood of Teamsters Local 727, Park Ridge, IL, 60068-5764, (847)696-7500
Employer, Employer, Eagle Express Lines, Inc., Homewood, IL, 60430, (630)783-9860
","International Brotherhood of Teamsters Local 727","Included:  All full time, regular part time, and trainee drivers dispatched from Bedford Park, IL.  Excluded:  All office, clerical employees, guards, professional employees and supervisors as defined by the Act.",31
C,"Region 08, Cleveland, Ohio",08-CB-258647,"United Auto Workers, Local 12 (Jeep Country Federal Credit Union)",Closed,04/01/2020,06/03/2020,"Withdrawal Non-adjusted",Toledo,OH,25,"8(b)(1)(A) Duty of Fair Representation, incl'g Superseniority, denial of access
","Charged Party / Respondent, Notification, Britton James, International Union, United Automobile, Aerospace & Agricultural Implement Workers of America (UAW), 8000 E Jefferson Ave, Detroit, MI, 48214, (313)926-5216
Charging Party, Individual
Involved Party, Employer, Jeep Country Federal Credit Union, Toledo, OH, 43610
Charged Party / Respondent, Union, United Auto Workers, Local 12, Toledo, OH, 43620
",,,
C,"Region 32, Oakland, California",32-CB-258676,"Teamsters Local 439 (Safeway, Inc.)",Closed,04/01/2020,04/07/2020,"Withdrawal Non-adjusted",Tracy,CA,500,"8(b)(1)(A) Duty of Fair Representation, incl'g Superseniority, denial of access
","Charged Party / Respondent, Legal Representative, Rosenfeld David, Weinberg, Roger & Rosenfeld, 1001 Marina Village Parkway, Suite 200, Alameda, CA, 94501, (510)337-1001
Charged Party / Respondent, Union, TEAMSTERS LOCAL 439, INTERNATIONAL BROTHERHOOD OF TEAMSTERS, Stockton, CA, 95205
Involved Party, Employer, Safeway, Inc., Tracy, CA, 95377
Charging Party, Individual
",,,
C,"Region 12, Tampa, Florida",12-CA-258651,"USA Wireless, Inc.",Closed,04/01/2020,06/10/2020,"Dismissal Non-adjusted","Palm Beach Gardens",FL,51,"8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)
","Charging Party, Legal Representative, Fenton Matthew, Wenzel Fenton Cabassa, P.A., 1110 N. Florida Ave., Ste. 300, Tampa, FL, 33602-____, (813)224-0431
Charging Party, Individual
Charged Party / Respondent, Employer, Ogletree Deakins PLLC, Palm Beach Gardens, FL, 33410-3504
Charged Party / Respondent, Employer, Ogletree Deakins PLLC, Birmingham, MI, 48009
",,,
C,"Region 28, Phoenix, Arizona",28-CB-258657,"General Teamsters (Excluding Mailers) State of Arizona, Local Union No. 104, a/w International Brotherhood of Teamsters (Hertz)",Closed,04/01/2020,06/26/2020,"Dismissal Non-adjusted",Phoenix,AZ,1,"8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)
8(b)(1)(A) Duty of Fair Representation, incl'g Superseniority, denial of access
8(b)(1)(A) Union Dues and/or Membership Related (including excessive fees)
","Charged Party / Respondent, Notification, Raymond Bradley, International Brotherhood of Teamsters, 25 Louisiana Ave NW, Washington, DC, 20001-2198, (202)624-6847
Charged Party / Respondent, Legal Representative, Rosenfeld Elizabeth, Wohlner Kaplon Cutler Halford & Rosenfeld,, 16501 Ventura Boulevard, Suite 304, Encino, CA, 91436, (818)501-8030
Charged Party / Respondent, Union, Teamsters Local Union No. 104, Phoenix, AZ, 85009-6423
Involved Party, Employer, Hertz, Phoenix, AZ, 85034
Charging Party, Individual
",,,
C,"Region 08, Cleveland, Ohio",08-CA-258645,"Jeep Country Federal Credit Union",Closed,04/01/2020,06/03/2020,"Withdrawal Non-adjusted",Toledo,OH,25,"8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)
8(a)(3) Discipline
","Charged Party / Respondent, Legal Representative, Fraser Jeffrey, Miller Johnson, PLC, 45 Ottawa Avenue, SW, Suite 1100,, P. O. Box 306, Grand Rapids, MI, 49501-0306, (616)831-1756
Charged Party / Respondent, Legal Representative, Stoppels Kelley, Miller Johnson Attorneys, 45 Ottawa Avenue, SW, Suite 1100,, P. O. Box 306, Grand Rapids, MI, 49501-0306, (616)831-1776
Charging Party, Individual
Charged Party / Respondent, Additional Service, Jeep Country Federal Credit Union, Toledo, OH, 43608
Charged Party / Respondent, Employer, Jeep Country Federal Credit Union, Toledo, OH, 43610
",,,
C,"Region 29, Brooklyn, New York",29-CB-258672,"International Brotherhood of Teamster Local 804 (United Parsel Store)",Closed,04/01/2020,05/21/2020,"Withdrawal Adjusted",Uniondale,NY,250,"8(b)(1)(A) Duty of Fair Representation, incl'g Superseniority, denial of access
","Charged Party / Respondent, Union, International Brotherhood of Teamster Local 804, Long Island City, NY, 11101-____
Involved Party, Employer, United Parsel Store, Uniondale, NY, 11553-____
Charging Party, Individual
",,,
C,"Region 20, San Francisco, California",20-CA-258764,"Able Services",Closed,04/01/2020,04/29/2020,"Dismissal Non-adjusted","San Francisco",CA,200,"8(a)(5) Repudiation/Modification of Contract [Sec 8(d)/Unilateral Changes]
","Charged Party / Respondent, Legal Representative, Glatzer Bonnie, Nixon Peabody LLP, One Embarcadero Ctr 32nd Floor, San Francisco, CA, 94111-3600, (415)984-8333
Charging Party, Legal Representative, Mehta Sonya, Siegel, Yee, Brunner & Mehta, 475 14th St, Suite 500, Oakland, CA, 94612-1925, (510)839-1200
Charged Party / Respondent, Employer, Able Services, San Francisco, CA, 94104-2736
Charging Party, Union, Service Employees International Union Local 87, Oakland, CA, 94612-1925
",,,
C,"Region 31, Los Angeles, California",31-CA-258708,"Columbia Sussex Management, LLC d/b/a J.W. Marriott Santa Monica Le Merigot Hotel",Closed,04/01/2020,06/18/2020,"Withdrawal Non-adjusted","Santa Monica",CA,2,"8(a)(5) Refusal to Bargain/Bad Faith Bargaining (incl'g surface bargaining/direct dealing)
","Charging Party, Legal Representative, Blasi Jeremy, UNITE HERE Local 11, 464 South Lucas Avenue, Suite 201, Los Angeles, CA, 90017-2074, (213)481-8530
Charged Party / Respondent, Legal Representative, Robbins Mark, Littler Mendelson, PC, 2049 Century Park East, #500, Los Angeles, CA, 90067-3107, (310)772-7227
Charged Party / Respondent, Legal Representative, Millman Robert, Littler Mendelson, PC, 2049 Century Park East, 5th Floor, Los Angeles, CA, 90067-3120, (310)772-7206
Charged Party / Respondent, Employer, Columbia Sussex Management, LLC d/b/a J.W. Marriott Santa Monica Le Merigot Hotel, Santa Monica, CA, 90401-3214
Charging Party, Union, UNITE HERE Local 11, Los Angeles, CA, 90017
",,,
C,"Region 04, Philadelphia, Pennsylvania",04-CA-258679,"Bridon Bekaert",Closed,04/01/2020,04/16/2020,"Dismissal Non-adjusted",Pittston,PA,122,"8(a)(1) Weingarten
","Charged Party / Respondent, Legal Representative, Trozzolillo Anthony, The Chartwell Law Offices, LLP, The Connell Building, Suite 240, 125 N. Washington Avenue, Scranton, PA, 18503-1860, (570)558-4820
Involved Party, Union, Bensalem, PA, 19020-8702
Charged Party / Respondent, Employer, Bridon, Exeter, PA, 18643
Charging Party, Individual
",,,
C,"Region 29, Brooklyn, New York",29-CA-258652,"HOMYN ENTERPRISES, DBA SECURE WRAP",Closed,04/01/2020,05/27/2020,"Dismissal Non-adjusted",Jamaica,NY,50,"8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)
8(a)(3) Discharge (Including Layoff and Refusal to Hire (not salting))
","Charged Party / Respondent, Legal Representative, DiLorenzo Louis, Bond Schoeneck & King, PLLC, 600 Third Avenue, 22nd Floor, New York, NY, 10016, (646)253-2315
Charged Party / Respondent, Legal Representative, Villalon Ramsey, Mamone Villalon, 100 SE 2nd St Ste 2150, Miami, FL, 33131-2137, (786)209-2379
Charged Party / Respondent, Employer, HOMYN ENTERPRISES, DBA SECURE WRAP, MIAMI, FL, 33142-____
Charging Party, Individual
",,,
C,"Region 12, Tampa, Florida",12-CA-258673,"United States Postal Service",Closed,04/01/2020,05/26/2020,"Dismissal Non-adjusted",Jacksonville,FL,50,"8(a)(1) Coercive Actions (Surveillance, etc)
","Charging Party, Legal Representative, Johnson Angela, American Postal Workers Union NEFAL, PO BOX 2881, Jacksonville, FL, 32203-____, (904)354-0344
Charged Party / Respondent, Legal Representative, Colling James, United States Postal Service, Law Office - NLRB Unit, 475 L’Enfant Plaza, SW, Washington, DC, 20260, (720)221-5128
Charged Party / Respondent, Legal Representative, Koupal Mark, United States Postal Service, 1720 Market St Rm 2400, Saint Louis, MO, 63155-9948, (314)345-5842
Charging Party, Individual
Charged Party / Respondent, Employer, United States Postal Service, Jacksonville, FL, 32244-____
",,,
C,"Region 12, Tampa, Florida",12-CA-258653,"Paragon Systems, Inc.",Closed,04/01/2020,03/03/2023,"Withdrawal Adjusted",Longwood,FL,100,"8(a)(5) Repudiation/Modification of Contract [Sec 8(d)/Unilateral Changes]
","Charged Party / Respondent, Employer, Paragon Systems, Inc., Herndon, VA, 20171-3244
Charging Party, Union, United Government Security Officers of America, Local 344, Longwood, FL, 32752
",,,
C,"Region 15, New Orleans, Louisiana",15-CA-258703,"United States Postal Service",Closed,04/01/2020,04/22/2020,"Withdrawal Adjusted",Pensacola,FL,50,"8(a)(5) Repudiation/Modification of Contract [Sec 8(d)/Unilateral Changes]
","Charged Party / Respondent, Legal Representative, Colling James, United States Postal Service, Office of Deputy Managing Counsel-Field                               Law Department - NLRB Unit,, 1720 Market Street, Room 2400, St. Louis, MO, 63155-9948, (720)221-5128
Charging Party, Additional Service, COHEN, WEISS AND SIMON, LLP, New York, NY, 10022-4869
Charged Party / Respondent, Employer, United States Postal Service, Pensacola, FL, 32501-____
Charged Party / Respondent, Additional Service, United States Postal Service (Law Dept. -  NLRB Unit), Washington, DC, 20260
Charging Party, Union, National Association of Letter Carriers Branch 321, pensacola, FL, 32506-____
",,,
C,"Region 27, Denver, Colorado",27-CA-258659,"Grain Craft",Closed,04/01/2020,03/02/2021,"Dismissal Non-adjusted",Ogden,UT,35,"8(a)(3) Discipline
8(a)(1) Coercive Statements (Threats, Promises of Benefits, etc.)
8(a)(3) Changes in Terms and Conditions of Employment
8(a)(3) Discharge (Including Layoff and Refusal to Hire (not salting))
8(a)(5) Repudiation/Modification of Contract [Sec 8(d)/Unilateral Changes]
","Charged Party / Respondent, Legal Representative, Woodson Michael, Eversheds Sutherland (US) LLP, 1001 Fannin, Ste. 3700, Houston, TX, 77002, (713)470-6121
Charged Party / Respondent, Legal Representative, McLaughlin Scott, Eversheds Sutherland (US) LLP, 1001 Fannin St. Ste. 3700, Houston, TX, 77002-6785, (713)470-6100
Charging Party, Additional Service, Bakery, Confectionery, Tobacco Workers & Grain Millers International Union, AFL-CIO, CLC, Syracuse, UT, 84075
Charged Party / Respondent, Employer, Grain Craft, Ogden, UT, 84401-3510
Charging Party, Union, Bakery, Confectionary, Tobacco Workers and Grain Millers (BCTGM) Local 19G, AFL-CIO, CLC, Syracuse, UT, 84075
",,,
C,"Region 18, Minneapolis, Minnesota",18-CA-258684,"SDH Services, LLC, a subsidiary of Sodexo, Inc.",Closed,04/01/2020,05/27/2020,"Dismissal Non-adjusted",Gaithersburg,MD,10,"8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)
8(a)(1) Coercive Statements (Threats, Promises of Benefits, etc.)
","Charged Party / Respondent, Legal Representative, Schindel Aaron, Sodexo, Inc. & Affiliated Companies, 9801 Washingtonian Boulevard, Suite 1258, Gaithersburg, MD, 20878, (301)987-4578
Charged Party / Respondent, Employer, SDH SERVICES, LLC, A SUBSIDIARY OF SODEXO, INC., Gaithersburg, MD, 20878
Charging Party, Individual
",,,
C,"Region 20, San Francisco, California",20-CA-258665,"JW Marriott San Francisco Union Square",Closed,04/01/2020,05/27/2020,"Withdrawal Adjusted","San Francisco",CA,120,"8(a)(3) Changes in Terms and Conditions of Employment
8(a)(4) Changes in Terms and Conditions of Employment
","Charged Party / Respondent, Legal Representative, Buffalano Nicole, Morgan Lewis & Bockius LLP, 300 South Grand Avenue, 22nd Floor,  Los Angeles, CA, 90071-3132, (213)612-7443
Charging Party, Union, UNITE HERE Local 2, San Francisco, CA, 94102-3705
Charged Party / Respondent, Employer, JW Marriott San Francisco Union Square, San Francisco, CA, 94102-1226
",,,
C,"Region 18, Minneapolis, Minnesota",18-CB-258674,"IBEW Local 160 (Xcel Energy)",Closed,04/01/2020,04/15/2020,"Withdrawal Adjusted",Monticello,MN,75,"8(b)(1)(A) Union Dues and/or Membership Related (including excessive fees)
","Charged Party / Respondent, Legal Representative, Marshall Emily, Miller O'Brien Jensen, P.A, 120 South Sixth Street, Suite 2400, Minneapolis, MN, 55402, (612)333-5831
Involved Party, Legal Representative, Moberg Michael, Jackson Lewis P.C., 150 South 5th Street, Suite 3500, Minneapolis, MN, 55402-4228, (612)787-3504
Charged Party / Respondent, Union, INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS, LOCAL 160, SAINT ANTHONY, MN, 55418
Involved Party, Employer, Xcel Energy, Monticello, MN, 55362
Charging Party, Individual
",,,
C,"Region 10, Atlanta, Georgia",10-CA-258624,"United States Postal Service",Open,04/01/2020,,,Charlotte,NC,100,"8(a)(1) Coercive Statements (Threats, Promises of Benefits, etc.)
8(a)(2) Domination
8(a)(5) Refusal to Recognize
8(a)(1) Coercive Rules
","Charged Party / Respondent, Legal Representative, Kingsbury Dallas, United States Postal Service, Law Department - NLRB Unit, 1720 Market Street, Room 2400, St. Louis, MO, 63155-9948, (202)268-2390
Charged Party / Respondent, Legal Representative, Kearns Jennifer, United States Postal Service, Law Department - NLRB Unit, 1720 Market Street, Room 2400, Saint Louis, MO, 63155-9948, (314)345-5840
Charged Party / Respondent, Employer, United States Postal Service, Charlotte, NC, 20203
Charging Party, Individual
",,,
