Name,"Case Number",City,"States & Territories","Date Filed","Region Assigned",Status,"Date Closed","Reason Closed","No. of Eligible Voters","No. of Employees","Certified Representative","Unit Sought"
"AAM Metal Forming Auburn Hills",07-RC-339303,"Auburn Hills",MI,04/02/2024,"Region 07, Detroit, Michigan",Open,,,,144,,"Included: All Full Time and Part Time Production Employees at AAM

Excluded: All Salary, Office, managers, supervisors, Co-op's, Prod. Dev. Specialist Employees"
"ABC Transit, Inc.",06-RD-339165,Pittsburgh,PA,04/02/2024,"Region 06, Pittsburgh, Pennsylvania",Open,,,,52,,"Included: Driver, Monitor, Aide"
"Parsons-Meares Inc. and Parsons-Meares, Ltd., as a single employer, joint employers, or alter egos",29-RC-339163,"Long Island City",NY,04/02/2024,"Region 29, Brooklyn, New York",Open,,,,40,,"Included:
All employees, including, but not limited to, drapers, assistant drapers, floormanagers,
project-managers, first hands, stitchers, machine operators, finishers, dyers, and
shoppers. Any employees performing work by draping, pattern-making, pattern-drafting, cutting,
sewing, tailoring, shopping, costume crafts, fabric artistry (including, but not limited to, aging,
dying, fabric painting), modeling, feathering, costume sculpture, millinery, finishing, beading,
shoemaking, cobbling, puppetry, crafting, and all other costume-making work while employed
by the Employer.

Excluded:
Security guards as defined in the National Labor Relations Act."
"Bluestone Lane Roasting, LLC",04-RC-339236,Philadelphia,PA,04/02/2024,"Region 04, Philadelphia, Pennsylvania",Open,,,,28,,"Included: Service Professionals, Baristas, Head Baristas, Culinary Leads, Team Leads, Cooks, Kitchen Leads, Porters.

Excluded: Store Managers, Office Clerical Employees, Guards and Supervisors as Defined by the Act."
"Creative Growth Art Center",32-RC-339157,Oakland,CA,04/02/2024,"Region 32, Oakland, California",Open,,,,33,,"Included: All full-time and part-time Instructors, Assistants, Aides, Registrars, Facilitators,
Specialists, Coordinators, Program Administrators, Office Managers, and Art Gallery Managers

Excluded: All other Managers, Directors, Supervisors, Contractors, and Guards"
"Kaiser Foundation Hospitals",32-RC-339229,Oakland,CA,04/02/2024,"Region 32, Oakland, California",Open,,,,465,,"Included: All FT and regular PT House Staff - Interns, Residents, Chief Residents, and Fellows located at:

Modesto Medical Center
4601 Dale Road, Modesto, CA 95356

Oakland Medical Center
3600 Broadway, Oakland, CA 94611

Downtown Commons Medical Offices
501 J Street, Sacramento, CA 95814

San Francisco Medical Center
2425 Geary Blvd, San Francisco, CA 94115

San Jose Medical Center
275 Hospital Parkway, San Jose CA 95119

Santa Clara Medical Center
710 Lawrence Expressway, Santa Clara, CA 95051

Santa Rosa Medical Center
401 Bicentennial Way, Santa Rosa, CA 95403

Vallejo Medical Center
975 Sereno Drive, Vallejo, CA 94589

Excluded: All other employees, directors, managers, guards, and supervisors as defined by Act."
"Worley Field Services (AKA Cam Industrial Solutions ""Parent Company"")",31-RC-339105,Ontario,CA,04/02/2024,"Region 31, Los Angeles, California",Open,,,,46,,"Included: All full-time and part-time Welders, Forklift Operators, Loader Operators, Crane Operators, Mechanics, Pipe Fitters, Instrument Techs, Electricians working at the New-Indy Container-board Plant in Ontario. 

Excluded: All other employees, confidential employees, managers, guards, Safety Inspectors, and supervisors as defined in the act."
"First Student, Inc.",01-RC-339170,Bristol,CT,04/02/2024,"Region 01, Boston, Massachusetts",Open,,,,120,,"Included: All full-time & regular part-time school bus drivers and monitors.
Excluded: All other employees, guards, professional employees, and supervisors as defined in the Act."
"Starbucks Corporation",27-RM-339133,Cheyenne,WY,04/02/2024,"Region 27, Denver, Colorado",Open,,,,16,,"Included: All full-time and regular part-time baristas and shift supervisors employed by the Employer at its
facility located at 5930 Yellowstone Rd. Cheyenne, WY 82009.
Excluded: All store managers, assistant store managers, office clericals, confidential employees, managerial
employees, and all other employees, professional employees, and guards and supervisors as defined in the Act."
"Starbucks Corporation",27-RM-339110,Cheyenne,WY,04/02/2024,"Region 27, Denver, Colorado",Open,,,,21,,"Included: All full-time and regular part-time baristas and shift supervisors employed by the Employer at its
facility located at 2518 Dell Range Blvd. Cheyenne, WY 82009.
Excluded: All store managers, assistant store managers, office clericals, confidential employees, managerial
employees, and all other employees, professional employees, and guards and supervisors as defined in the Act."
"AKIMA SYSTEMS ENGINEERING",15-RC-339164,"Panama City Beach",FL,04/02/2024,"Region 15, New Orleans, Louisiana",Open,,,,20,,"Included: 
All Regular and Part-Time Machinists, CNC Machinists, Welder Fabricators, Mechanics, Planners, and Riggers Working at the NAS Panama City Beach, FL location. 

Excluded: 
Office Clerical Employees, Professional Employees, Managerial Employees, Guards, Supervisors, as defined in the Act and Site Manager. 
"
"Starbucks Corporation",18-RM-339103,Minneapolis,MN,04/01/2024,"Region 18, Minneapolis, Minnesota",Open,,,,11,,"Included: All full-time and regular part-time Baristas and Shift Supervisors employed at the Employer's 2544 Nicollet Ave, Minneapolis, Minnesota 55404 location

Excluded: All store managers, assistant store managers, office clericals, confidential employees, managerial employees, and all other employees, professional employees, and guards and supervisors as defined in the Act.  
"
"Starbucks Corporation",06-RM-339065,Pittsburgh,PA,04/01/2024,"Region 06, Pittsburgh, Pennsylvania",Open,,,,17,,"Included: All full-time and regular part-time baristas and shift supervisors employed by the Employer at its facility located at 6304 Forbes Ave., Pittsburgh, PA 15217.

Excluded: All store managers, assistant store managers, office clericals, confidential employees, managerial employees, and all other employees, professional employees, and guards and supervisors as defined in the Act."
"Nissan North America, Inc.",22-RD-339038,Somerset,NJ,04/01/2024,"Region 22, Newark, New Jersey",Open,,,,60,,"INCLUDED:  Full-time and regular part-time warehouse operators employed at 1501 Cottontail Lane, Somerset, NJ 08873

EXCLUDED:  Clerical employees, managerial employees, professional employees, guards, and supervisors."
"Allied Universal",12-RC-339085,Tampa,FL,04/01/2024,"Region 12, Tampa, Florida",Open,,,,15,,"Included: ALL EMPLOYEES PERFORMING GUARD DUTIES AS DEFINED IN SECTION 9(B)(3) OF THE NATIONAL LABOR RELATIONS ACT, EMPLOYED BY ALLIED UNIVERSAL @2002 MARITIME BLVD., TAMPA, FL 33605.

Excluded: ALL OFFICE CLERICAL EMPLOYEES. PROFESSIONAL EMPLOYEES AND SUPERVISORS AS DEFINED BY THE ACT."
"Mass General Brigham Home Hospital",01-RC-339077,Somerville,MA,04/01/2024,"Region 01, Boston, Massachusetts",Open,,,,85,,"Included: All full-time, part-time, per-diem RNs and Physical Therapists.

Excluded: Managerial, supervisory, and all other employees. 
"
"Transdev Services, Inc.",32-RM-339014,Merced,CA,04/01/2024,"Region 32, Oakland, California",Open,,,,23,,"Included: Dispatchers, Drivers, Technicians, and Utility workers. 

Excluded: All other employees lncluding bul not limited to, office derical employees, managers, supervlsocs guards, and professional employees as defined by NLRA 29 USC S. 151•169 

"
"V3 Illinois Vending, LLC/Terrabis",14-RC-339055,Grayville,IL,04/01/2024,"Region 14, Saint Louis, Missouri",Open,,,,35,,"Included: All full-time and Part-time budtenders, All full-time and Part-time leads.
Excluded: Store managers, assistant store managers, office/clerical employees, professional employees, guards and supervisors as defined by the act.
"
"Starbucks Corporation",05-RM-339081,Springfield,VA,04/01/2024,"Region 05, Baltimore, Maryland",Open,,,,16,,"Included:  All full-time and regular part-time Baristas and Shift Supervisors employed at the Employer's 8408A Old Keene Mill Road, Springfield, Virginia 22152 location

Excluded:  All store managers, assistant store managers, office clericals, confidential employees, managerial employees, and all other employees, professional employees, and guards and supervisors as defined in the Act.  
"
"Original Music Workshop, Inc., d/b/a National Sawdust",29-RC-339180,Brooklyn,NY,04/01/2024,"Region 29, Brooklyn, New York",Open,,,,16,,"Included: Ushers
Excluded: All other employees"
"Hospital Metropolitano de Cabo Rojo",12-RC-339054,"Cabo Rojo",PR,04/01/2024,"Region 12, Tampa, Florida",Open,,,,30,,"INCLUDED:  All regular full time and part-time registered nurses employed by the Employer in its Cabo Rojo facilities.
EXCLUDED:  All other employees, clerical and administrative employees, managerial personnel, guards and supervisors as defined in the Act.
"
"Starbucks Corporation",05-RM-339047,"Ellicott City",MD,04/01/2024,"Region 05, Baltimore, Maryland",Open,,,,28,,"Included: All full-time and regular part-time Baristas and Shift Supervisors employed at the Employer's 5715 Richards Valley Rd. Ellicott City, MD 21043 location.

Excluded: All store managers, assistant store managers, office clericals, confidential employees, managerial employees, and all other employees, professional employees, and guards and supervisors as defined in the Act."
"Starbucks Corporation",25-RM-339053,Pekin,IL,04/01/2024,"Region 25, Indianapolis, Indiana","Open - Blocked",,,,19,,"INCLUDED: All full-time and regular part-time Baristas and Shift Supervisors employed at the Employer's 3442 Court Street, Pekin, IL 61554 location.  EXCLUDED:  All store managers, assistant store managers, office clericals, confidential employees, managerial employees, and all other employees, professional employees, and guards and supervisors as defined in the Act."
"Martinez and Company",12-RC-339056,Tampa,FL,04/01/2024,"Region 12, Tampa, Florida",Open,,,,10,,"Included: All employees performing Guard duties as defined in section 9(b)(3) of the National Labor Relations Act, employed by Martinez and Company @2002 Maritime Blvd., Tampa, FL 33605
Excluded: All office Clerical employees, Professional employees and Supervisors as defined by the Act."
"Pine Lake Country Club",07-RD-339061,"Orchard Lake Village",MI,04/01/2024,"Region 07, Detroit, Michigan",Open,,,,75,,"Included:  bartenders, dishwashers and line cooks."
"Rogers Group, Inc.",10-RD-339051,Hopkinsville,KY,04/01/2024,"Region 10, Atlanta, Georgia",Open,,,,14,,"Included: All laborers are members of Laborer Local 1392.

Excluded: All management and operators are employees of Rogers Group, Inc."
"Triple Canopy",27-RC-338994,Lakewood,CO,04/01/2024,"Region 27, Denver, Colorado",Open,,,,82,,"Included:  All fulltime and part time armed and unarmed security officers employed by the employer

Excluded:  clerical, managerial, salaried, and supervisory personal as defined by the act."
"University of Chicago Medical Center",13-RC-338986,Chicago,IL,04/01/2024,"Region 13, Chicago, Illinois",Open,,,,1023,,"Included: All full-time and regular part-time house staff employed by the University of Chicago Medical Center in the following classifications: interns, residents, chief residents, and fellows.
Excluded: All other employees, directors, managerial employees, guards, and supervisors as defined in the Act."
"Starbucks Corporation",18-RM-339098,Madison,WI,04/01/2024,"Region 18, Minneapolis, Minnesota",Open,,,,7,,"All full-time and regular part-time baristas and shift supervisors employed at the Employer's 1896 E. Washington Ave, Madison, Wisconsin 53704 location; excluding all store managers, assistant store managers, office clericals, confidential employees, managerial employees, and all other employees, professional employees, and guards and supervisors as defined in the Act."
"Necal Corporation",18-RD-338969,Sparta,WI,04/01/2024,"Region 18, Minneapolis, Minnesota",Open,,,,8,,"Included: All operators, Mechanic (hourly employees)

Excluded: Salary employees"
"STARBUCKS CORPORATION",09-RM-339086,Columbus,OH,04/01/2024,"Region 09, Cincinnati, Ohio",Open,,,,22,,"Included:  All full-time and regular part-time baristas and shift supervisors employed by the Employer at its facility located at 3580 N. High Street, Columbus, OH 43214.

Excluded: All store managers, assistant store managers, office clericals, confidential employees, managerial employees, and all other employees, professional employees, and guards and supervisors as defined in the Act."
"Prime Communications",15-RC-338868,Montgomery,AL,03/29/2024,"Region 15, New Orleans, Louisiana",Open,,,,2,,"Included: Sales Consultants
Excluded:
All Others"
"Capital City Public Charter School",05-RC-338902,Washington,DC,03/29/2024,"Region 05, Baltimore, Maryland",Open,,,,204,,"EMPLOYEES INCLUDED:

Group A:  All full-time and regular part-time professional employees, including Teachers, Teaching Fellows, Speech and Language Pathologists, Counselors, Case Managers, Literacy Coaches, Development and Communications Associates, Academic Technology Coordinators, IT Desktop Support Analysts, IT Infrastructure Managers, IT Support Managers, and Specialists employed at the Employer’s Capital City Public Charter School building.

Group B: All full-time and regular part-time Building Substitutes, Assistant Teachers, Associate Teachers, Aftercare Teachers, Dedicated Aides, Office Managers, Food Service Aides, Garden Coordinators, Health and Safety Associates, Student Performance Data Associates, Front Desk Managers, Custodians, Maintenance Technicians, Library Associates, Fitness Teachers, Business Associates, School Information Systems Associates, Family Engagement and Admissions Associates, Language Access Managers, Directors of Language Access, and Facilities Technicians at the Employer’s Capital City Public Charter School building.

EMPLOYEES EXCLUDED

Group A: All Building Substitutes, Assistant Teachers, Associate Teachers, Aftercare Teachers, Dedicated Aides, Office Managers, Food Service Aides, Garden Coordinators, Health and Safety Associates, Student Performance Data Associates, Front Desk Managers, Custodians, Maintenance Technicians, Library Associates, Fitness Teachers, Business Associates, School Information Systems Associates, Family Engagement and Admissions Associates, Language Access Managers, Directors of Language Access, Facilities Technicians, all other non-professional employees, managerial employees, guards, and supervisors as defined in the Act, and all other employees.

Group B: All professional employees, Head of School, Principals, Directors, Instructional Coaches, all other managerial employees, guards, and supervisors as defined in the Act, and all other employees.

Voting Groups to be polled in accordance with Sonotone Corporation, 90 NLRB 1236 (1950).
"
"Malama Market Haleiwa",20-RC-338937,Haleiwa,HI,03/29/2024,"Region 20, San Francisco, California",Open,,,,43,,"Included: All full-time and regular part-time employees.

Excluded: All guards, supervisors, managers and confidential employees."
"Wilton Rancheria dba Sky River Casino",20-RM-338997,"Elk Grove",CA,03/29/2024,"Region 20, San Francisco, California",Open,,,,702,,"Included:
All employees employed by the Employer at the class III gaming casino located at 1 Sky River Parkway, Elk Grove, CA 95757.
Excluded:
Supervisors; Tribal Gaming Commission employees; employees of the security or surveillance departments (other than technicians); cash operations employees who are a “cage” employee or money counter; dealers; slot machine mechanics; casino guest service representatives; bingo employees; keno runners; keno writers; office clerical employees; and confidential employees."
"Lockheed Martin Corporation",21-RC-338911,"San Diego",CA,03/29/2024,"Region 21, Los Angeles, California",Open,,,,10,,"Included: All full time and regular part time Flight Simulator Techs.

Excluded: All other employees, guards, and supervisors as defined in the Act."
"Evergreen Health",03-RC-338907,Buffalo,NY,03/29/2024,"Region 03, Buffalo, New York",Open,,,,40,,"Included: All regular, full-time, and part time Administrative Quality Coordinator, Case Manager, Community Health Worker, Correctional Health Educator, Health & Wellness Counselor, Health Educator, Health Experience Coordinator, Housing First Retention Counselor, Housing Program Assistant, Housing Resource Specialist, Housing Retention Counselor, Housing Services Coordinator, Lead Community Nutrition Educator, MRT Housing Retention Counselor, Navigation Assistant, OASAS Test Counselor, Pantry Coordinator/ EIS Program Assistant, Program Assistant, Registered Dietician, Test Counselor Assistant, Testing and Education Coordinator, Testing and Education Counselor, Transportation Coordinator Excluded: All supervisory employees as defined by the act."
Radial,10-RC-338886,"Locust Grove",GA,03/29/2024,"Region 10, Atlanta, Georgia",Open,,,,140,,"Included: Any and all full-time and part-time warehouse, maintenance, and shipping and receiving employees employed by the Employer at its Locust Grove, Georgia facility.

Excluded: All contractors, temporary employees, salaried employees, professional employees, guards and supervisors as defined in the Act."
"Stericycle, Inc.",22-RM-339002,Keasbey,NJ,03/29/2024,"Region 22, Newark, New Jersey",Open,,,,64,,"INCLUDED:  ""Plant Assoc., Plant Lead, Maint., Cust. Drivers, Yard Hostler, Sharps Assoc., Leads""

EXCLUDED:  ""Supervisors, Management and Guards as defined in the ACT."""
"Valley Regional Medical Center",16-RD-338912,Brownsville,TX,03/28/2024,"Region 16, Fort Worth, Texas",Open,,,,200,,"Included: All full-time, regular part-time and per diem Registered Nurses employed by the Hospital at its facility located at 100 East Alton Gloor Boulevard, Brownville, Texas.

Excluded: All other employees, confidential employees, physicians, nurse and/clinical educators or coordinator, clinical nurses specialists, clinical coordinators, case managers/utilization review and/or discharges planners, nurse practitioners, accounting or auditing RNs, infection control/employee health nurses, risk management/performance improvement and/or quality assurance of quality management nurses, employees of outside registries and other agencies supplying labor to the Employer, already represented employees, permanent charge nurses, managerial employees, guards and supervisors."
"The Martin-Brower Company, LLC",16-RC-338816,Roanoke,TX,03/28/2024,"Region 16, Fort Worth, Texas",Open,,,,120,,"Included: All full time and regular part time warehouse workers including employees classified as Selector - Freezer, Cooler, Dry; Trailer Cleaner; Production Stacker; Loader, Mechanic; Inventory Coordinator; Inventory; Operations Assistant; and Facility Maintenance.

Excluded: All drivers, truck washers, sanitation workers, professional, office clericals, guards, and supervisors as defined in the Act."
"All Points Logistics, LLC.",12-RC-338814,"North Merritt Island",FL,03/28/2024,"Region 12, Tampa, Florida",Closed,04/03/2024,"Withdrawal Non-adjusted",,1,,"Included: All full time and regular part-time employees of the Employer employed as Peripheral Equipment Operators at the Kennedy Space Center, Merritt Island, FL.

Excluded: All other employees, office clerical employees, professional employees, managerial employees, guards and supervisors as defined by the Act."
"Pirates Dinner Theater",21-RC-338834,"Buena Park",CA,03/28/2024,"Region 21, Los Angeles, California",Closed,04/03/2024,"Withdrawal Non-adjusted",,8,,"Included: All full-time and part-time theater employees (including spotlight, lighting board, and sound board operators)

Excluded: All other employees, guards, and supervisors"
"Avosys Technology, Inc.",28-RC-338848,Tucson,AZ,03/28/2024,"Region 28, Phoenix, Arizona",Open,,,,35,,"INCLUDED:  All full-time, regular part-time, and on-call employees employed by the Employer at their Davis-Monthan AFB operation.

EXCLUDED:  All other employees including professional employees, managerial employees, guards, supervisors, and other employees as defined by the Act."
"Brickyard Healthcare Knox Care Center",25-RC-338871,Knox,IN,03/28/2024,"Region 25, Indianapolis, Indiana",Open,,,,26,,"INCLUDED:  All full-time, part-time, and PRN Certified Nurse Assistants (CNAs) and Certified Medication Technicians (QMAs) employed by the Employer at its 300 E. Culver Road, Knox, Indiana facility. EXCLUDED:  All other employees, including Registered Nurses, Licensed Practical Nurses, Dining Service employees, Maintenance employees, Office Clerical employees, professional employees, and guards and supervisors as defined in the Act."
"HarperCollins Publishers",02-UC-338952,"New York",NY,03/28/2024,"Region 02, New York, New York",Open,,,,175,,"All employees of the Employer who are based or located in New York City and who are employed in the job titles attached as Attachment B-
Excluded:
Executive, administrative, or supervisory employees, the secretaries to corporate officers of the Employer or the heads of major departments, persons employed in the Human Resources Department, or employees whose employment is temporary."
"Insituform Technologies, LLC",04-RM-338847,Newark,DE,03/28/2024,"Region 04, Philadelphia, Pennsylvania",Open,,,,54,,"Included: All regular full time and part time Installation Technicians with CDL, Installation Technicians without CDL, Foremen, Boiler Operators, Mechanics, Fabricators, and Construction Laborers employed at the Company’s 567 Walther Road, Newark, DE 19702 location.

Excluded: All other employees.
"
"The AFL-CIO, The AFL-CIO Technology Institute, The AFL-CIO Working for America Institute",05-UC-338895,Washington,DC,03/28/2024,"Region 05, Baltimore, Maryland",Open,,,,98,,"Present Unit
Included: All professional employees of the AFL-CIO performing the kind of work normally performed within the bargaining unit in all departments

Excluded: Supervisors, managers, and confidential employees.

Proposed Unit
Included: The present unit and the titles listed under section 9 of this petition.

Excluded: Supervisors, managers, and confidential employees.
"
AMR,16-RC-338835,Temple,TX,03/28/2024,"Region 16, Fort Worth, Texas",Open,,,,75,,"Included: full-time and regular part-time EMT Advanced, EMT Basics, and Field Training Officer EMT and Field Training Officers Paramedic.

Excluded: Managers, Office Clericals, Guards, other Professional employees and Supervisors."
"Quest Graphics, L.L.C.",14-RC-338977,"Maryland Heights",MO,03/28/2024,"Region 14, Saint Louis, Missouri",Open,,,,55,,"Included: Bindery, hand/mach operators, sheets, die cutters, ship & receiving, 1st & 2nd pressman
Excluded:: Managers, supervisors, and office clerical and any defined by the law"
"National Treasury Employees Union",05-UC-338873,Washington,DC,03/28/2024,"Region 05, Baltimore, Maryland",Open,,,,83,,"Present Unit:  Included: All employees of NTEU.
Excluded:  Except those serving as supervisors, management officials, confidential employees and student law clerks.

Proposed Unit:  Included: All employees of NTEU.
Excluded:  Except those serving as supervisors, management officials, confidential employees and student law clerks.
"
"Mental Health Center of Boulder County Inc dba Mental Health Partners",27-RC-338906,Boulder,CO,03/28/2024,"Region 27, Denver, Colorado",Open,,,,38,,"Included: All full-time and regular part-time employees at the Valmont MHP facility in the Crisis Intervention Services, Detox and UP Clinic Departments. Excluded: All other employees (including statutorily excluded employees)."
"St. Jospeh Health Northern CA, LLC DBA: Providence St. Joseph Hospital, Eureka",20-RC-338855,Eureka,CA,03/28/2024,"Region 20, San Francisco, California",Open,,,,58,,"Included: All full-time, regular part-time and per diem professional employees employed by the employer and assigned to either of the two locations listed in Section 2b of this Petition (St. Joseph Hospital, Eureka, 2700 Dolbeer Street,
Eureka, CA 95501 and Redwood Memorial Hospital 3300 Renner Drive, Fortuna, CA 95540) in the following job classifications:
Behavioral Health Specialist, Care Integration Coordinator, Care Manager LCSW, Clinical Patient Navigator, Dietitian, Lead Dietitian, Lead Physical Therapist, Occupational Therapist, Outpatient Oncology Dietitian, Physical Therapist, Senior Occupational Therapy, Senior Speech Language Pathologist, Social Work Coordinator, Social Worker MSW, Speech Language Pathologist
Excluded: All other employees, confidential employees, employees represented by other labor organizations, guards and supervisors as defined by the National Labor Relations Act."
